NIT,RAZON_SOCIAL,DEPARTAMENTO,MUNICIPIO,CIIU,DESCRIPCION_CIIU
800226887,GRUPO MERPES SAS,CUNDINAMARCA,COTA,4610,Comercio al por mayor a cambio de una retribución o por contrata
900131075,FUNDIHERRAJES DE COLOMBIA S.A.S.,BOYACÁ,SOGAMOSO,2511,Fabricación de productos metálicos para uso estructural
890910468,HRA UNIQUIMICA SAS,ANTIOQUIA,LA ESTRELLA,2011,Fabricación de sustancias y productos químicos básicos
900548173,MASIVO DE OCCIDENTE SAS,ANTIOQUIA,MEDELLÍN,4921,Transporte de pasajeros
900337842,INGEMEC ASOCIADOS SAS,CUNDINAMARCA,MOSQUERA,2511,Fabricación de productos metálicos para uso estructural
890802377,AUTOMOTRIZ CALDAS MOTOR S.A.S.,CALDAS,MANIZALES,4511,Comercio de vehículos automotores nuevos
890701459,HOSPITAL SAN JUAN BAUTISTA ESE,TOLIMA,CHAPARRAL,8610,"Actividades de hospitales y clínicas, con internación"
900550447,TP-LINK COLOMBIA LTDA,CUNDINAMARCA,COTA,4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
900127127,CI ALLIANCE SA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4631,Comercio al por mayor de productos alimenticios
800101728,RADIOLOGOS ESPECIALIZADOS DE BUCARAMANGA S.A.,SANTANDER,FLORIDABLANCA,8691,Actividades de apoyo diagnóstico
800141903,QUIMICOS INDUSTRIALES ASOCIADOS S.A.S,BOYACÁ,PAIPA,4664,"Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
900894722,KCI COLOMBIA S.A.S.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
800163260,INDUSTRIA FANTASIA S.A.S ,ANTIOQUIA,GIRARDOTA,3120,Fabricación de colchones y somieres
890200613,MOLINO DE ORIENTE S.A.,SANTANDER,GIRÓN,1051,Elaboración de productos de molinería
900256279,SCHWEITZER ENGINEERING LABORATORIES COLOMBIA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",2712,Fabricación de aparatos de distribución y control de la energía eléctrica
800027656,TEXTILES ACRILAN SAS,VALLE DEL CAUCA,SANTIAGO DE CALI,1410,"Confección de prendas de vestir, excepto prendas de piel"
901191678,ALIMENTAR CAPITAL SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",5629,Actividades de otros servicios de comidas
900645768,LUKER AGRICOLA SAS,CALDAS,MANIZALES,0126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
860015905,CLINICA NUESTRA SEÑORA DE LA PAZ,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8610,"Actividades de hospitales y clínicas, con internación"
811042428,PROINTIMO S.A.S,ANTIOQUIA,RIONEGRO,1410,"Confección de prendas de vestir, excepto prendas de piel"
800173155,PRABYC  INGENIEROS SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4111,Construcción de edificios residenciales
900038024,ALIANZA DIAGNOSTICA S.A.,SANTANDER,BUCARAMANGA,8691,Actividades de apoyo diagnóstico
900565437,INVERSIONES FONCARBON SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0510,Extracción de hulla (carbón de piedra)
900495129,PETROLEOS SUD AMERICANOS SUCUERSAL COLOMBIA ,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",0620,Extracción de gas natural
806006970,COMPAÑIA DE SERVICIOS MARITIMOS Y TERRESTRES SAS ,BOLÍVAR,CARTAGENA DE INDIAS,4290,Construcción de otras obras de ingeniería civil
800085178,LUYMA SA,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4653,Comercio al por mayor de maquinaria y equipo agropecuarios
800193989,CENTRO DIAGNOSTICO DE ESPECIALISTAS LTDA,LA GUAJIRA,RIOHACHA,8610,"Actividades de hospitales y clínicas, con internación"
811039981,UNION MEDICAL SAS,ANTIOQUIA,ENVIGADO,1410,"Confección de prendas de vestir, excepto prendas de piel"
900121262,PLASTICOS FORMOSA LTDA,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,2013,Fabricación de plásticos en formas primarias
900375777,INVERSIONES CORCAB S.A.S,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4731,Comercio al por menor de combustible para automotores
830504400,CENTRO MEDICO VALLE DE ATRIZ E.U.,NARIÑO,PASTO,8610,"Actividades de hospitales y clínicas, con internación"
900886644,LUMIRA SAS,VALLE DEL CAUCA,SANTIAGO DE CALI,4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
800183203,PERICONEGRO,VALLE DEL CAUCA,SANTIAGO DE CALI,7010,Actividades de administración empresarial
891411663,ESE HOSPITAL SANTA MÓNICA,RISARALDA,DOSQUEBRADAS,8610,"Actividades de hospitales y clínicas, con internación"
900210295,SERVICIOS INDUSTRIALES DE BARRANCABERMEJA SAS ,SANTANDER,BARRANCABERMEJA,4290,Construcción de otras obras de ingeniería civil
900355863,REINTEGRA SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8299,Otras actividades de servicio de apoyo a las empresas n.c.p.
860009807,INDEPENDIENTE SANTA FE EN REORGANIZACION,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",9312,Actividades de clubes deportivos
800179308,YAMAKI SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4644,Comercio al por mayor de aparatos y equipo de uso doméstico
900073254,CENTRO ASEO MANTENIMIENTO PROFESIONAL SAS,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",8121,Limpieza general interior de edificios
892300445,ESE HOSPITAL REGIONAL DE AGUACHICA JOSE DAVID PADILLA VILLAFAÑE,CESAR,AGUACHICA,8610,"Actividades de hospitales y clínicas, con internación"
805018583,EQUIPAMIENTOS URBANOS NACIONALES DE COLOMBIA S.A.S.,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",7310,Publicidad
900930074,BIO URBE S.A.S,ANTIOQUIA,MEDELLÍN,8121,Limpieza general interior de edificios
805004427,AGLOMERADOS DE COLOMBIA SAS,VALLE DEL CAUCA,SANTIAGO DE CALI,4663,"Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
901263353,AGRIPLAST S.A.S.,ANTIOQUIA,APARTADÓ,2229,Fabricación de artículos de plástico n.c.p.
900365660,PROVEER INSTITUCIONAL S.A.S.,RISARALDA,DOSQUEBRADAS,4631,Comercio al por mayor de productos alimenticios
800187910,COMERCIALIZADORA DE IMPORTADOS LOS AMIGOS SA,VALLE DEL CAUCA,SANTIAGO DE CALI,4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
900154981,A&D PROYECTOS  SAS ,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",6810,Actividades inmobiliarias realizadas con bienes propios o arrendados
901230044,DISTRIBUIDORA COMERCIAL DULCES Y DULCES SAS,NARIÑO,PASTO,4631,Comercio al por mayor de productos alimenticios
900448208,TECNOLOGIAS MEDICAS COLOMBIA S.A.S  ,"BOGOTÁ, D.C.","BOGOTÁ, D.C.",4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
